ID	Label	Text
193	Exaggerated Claims	It Took MAGA Balls to win and it will take MAGA balls to continue to win ____ Get the BEST gift for your man or funniest thing to take to the next round - Shop Now
308	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24. ..."
394	Scarcity	"The ONLY garbage truck with Trump’s speech and figurine. Lights, sounds, and presidential flair—just $39.95 + FREE shipping. Grab yours now!"
268	Exaggerated Claims	Meant To Bee Baby Onesie
77	Guilt-tripping	Do you want to save the babies? Rep the pro life movement with our exclusive Save the Babies tee! ...
185	Guilt-tripping	It has been 17 years since Springtown ISD passed a bond election and the last major investment in Springtown ISD. __ Learn more: ...
223	Guilt-tripping	Start your day with a cup of life! Live Action's exclusive mug gives you a reminder that every day is a good day to protect life!
384	Time Pressure	BIG news! __ We’re getting ready to print and ship THOUSANDS of postcards to our volunteer teams as we gear up to connect with voters...
163	Guilt-tripping	The paid protestors are out... but where are we? If you support the hard work Elon and DOGE are doing with Trump to save our country - then it's time to stand up! ____ Shop now and show your support
409	Guilt-tripping	Polls show most voters support keeping choice in SNAP. So why are lawmakers pushing new restrictions?
200	Guilt-tripping	Take a stand for life by wearing this Protect The Innocent Pro-Life Tee...
67	Time Pressure	Celebrate Mother's Day with style in our Pro-Life Daisy Crop Tee!...
467	Guilt-tripping	Proposals to restrict SNAP are nothing more than a sound bite. Restrictions won’t solve the real health challenges Americans face.
120	Exaggerated Claims	Freedom Isn’t a Trend—It’s a Lifestyle ____ You don’t just wear clothes. You wear your values...
173	Time Pressure	"__ Take Back America—One Election, One Patriot at a Time! TPAction is on a mission to win local elections... Shop now, save 10%..."
73	Exaggerated Claims	Live Action Embroidered Logo Jacket
59	Guilt-tripping	This gorgeous enamel pin is crafted in the American Traditional style to reflect our commitment to the defense of all lives- preborn and born!
38	Guilt-tripping	Wear this long sleeve tee to show how being pro-life means loving both babies & mothers equally.
47	Guilt-tripping	"Take a stand for life with this 16oz ""Protect The Innocent"" Glass Water Bottle..."
350	Time Pressure	__ Now Buy 1 Get 1 FREE ____ The Trumpinator Teddy Bear - He's Back! _ We Restocked This Limited Edition Bear
352	Time Pressure	__ Now Buy 1 Get 1 FREE ____ The Trumpinator Teddy Bear - He's Back! _ We Restocked This Limited Edition Bear
133	Time Pressure	Shop our discounted Flame Fleece as part of the 4/20 sale using promocode DOPE ____
111	Exaggerated Claims	Freedom Isn’t a Trend—It’s a Lifestyle ____ You don’t just wear clothes. You wear your values...
293	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24..."
252	Exaggerated Claims	This minimalist design paired with a super comfy crewneck? Total magic.
413	Guilt-tripping	More government rules mean more red tape for families. SNAP restrictions add bureaucracy without solving real issues.
41	Guilt-tripping	"Take a stand for life with this 16oz ""Protect The Innocent"" Glass Water Bottle..."
62	Exaggerated Claims	Meant To Bee Baby Onesie
304	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24..."
320	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24..."
31	Guilt-tripping	"Being pro-life means proudly supporting and loving both mother and child! Show the world you're boldly pro-life with this unique, heart-shaped pin..."
243	Exaggerated Claims	"You followed the news every day, felt the emotions in real-time, and debated every twist and turn. Now, you can revisit those defining moments..."
210	Scarcity	Life is a Gift __ Visit our shop and grab a beautiful new crewneck before they're gone! 
183	Exaggerated Claims	"Warning: This can sleeve may cause eye-rolls, unfollows, and awkward family dinners. Totally worth it."
292	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24..."
171	Time Pressure	"__ Take Back America—One Election, One Patriot at a Time! TPAction is on a mission to win local elections... Shop now, save 10%..."
349	Time Pressure	__ Now Buy 1 Get 1 FREE ____ The Trumpinator Teddy Bear - He's Back! _ We Restocked This Limited Edition Bear
278	Guilt-tripping	"Sage colorway restocked, Every sale supports wages, healthcare, and more, Wear your values on your chest."
167	Guilt-tripping	"Tariffs, Trade Deals & the Government's Magic Trick Ah yes, tariffs — the favorite political party trick. ..."
336	Time Pressure	__ Now Buy 1 Get 1 FREE ____ The Trumpinator Teddy Bear - He's Back! _ We Restocked This Limited Edition Bear
289	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24..."
418	Guilt-tripping	"Proposals to restrict SNAP treat veterans and families like second-class citizens. This is America, and all Americans deserve the freedom to choose their groceries."
426	Guilt-tripping	More government rules mean more red tape for families. SNAP restrictions add bureaucracy without solving real issues.
149	Time Pressure	"Use our handy tool! Just enter your address, and a pre-written email will pop up to send to your school board. It takes 1 minute, but it makes a big difference!"
297	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24..."
399	Guilt-tripping	New proposals could limit what families can buy with SNAP. But restrictions won’t solve real health challenges.
465	Guilt-tripping	Americans who need help buying groceries deserve the freedom to choose foods that best meet their families’ needs.
158	Time Pressure	Better coverage than Verizon! __ Use code SHIELD25 for 25% OFF! Click below to shop __
178	Time Pressure	____ America First Starts Locally—Take Back Your Country with TPAction! ... Shop TPAction now and make a difference—10% off for a limited time
489	Guilt-tripping	Polls show most voters support keeping choice in SNAP. So why are lawmakers pushing new restrictions?
142	Time Pressure	"As seen in Forbes, our Flame Fleece is now on sale! Enjoy 20% off our newest collection using code DOPE____"
53	Guilt-tripping	It is our responsibility to protect the lives of preborn children. Purchase this sticker to tell the world that abortion ends with us! All profits from this product are donated to support our fight for the preborn.
100	Exaggerated Claims	Freedom Isn’t a Trend—It’s a Lifestyle ____ You don’t just wear clothes. You wear your values...
101	Exaggerated Claims	Freedom Isn’t a Trend—It’s a Lifestyle ____ You don’t just wear clothes. You wear your values...
449	Guilt-tripping	More government rules mean more red tape for families. SNAP restrictions add bureaucracy without solving real issues.
128	Time Pressure	"This 4/20, show up for civil liberties in style. Enjoy 20% off our newest collection using code DOPE____"
174	Time Pressure	"__ Take Back America—One Election, One Patriot at a Time!... Shop now, save 10%, and support TPAction today"
348	Exaggerated Claims	"__ TRUMP RELEASES NEW BOOK ""SAVE AMERICA"" __ In ""SAVE AMERICA”..."
23	Time Pressure	Spring & Summer Sports Are Here! Get ready for your kids' games with these must-have sideline essentials!
131	Time Pressure	Shop our discounted Flame Fleece as part of the 4/20 sale using promocode DOPE ____
3	Scarcity	"Brand new, unopened LG soundbar w/ Dolby Atmos + Subwoofer - LG SG10T - $500.00..."
27	Guilt-tripping	The perfect stocking stuffer for the pro-life advocate in your life!...100% of the proceeds goes towards the ongoing fight for life.
70	Guilt-tripping	Do you want to save the babies? Rep the pro life movement with our exclusive Save the Babies tee!...
376	Guilt-tripping	"Repeated Medicare payment cuts jeopardize physicians’ ability to accept new patients, adequately pay staff, buy new equipment..."
147	Guilt-tripping	Come discuss community news over a cup of coffee at Eos Café and receive an update on the work we're doing for you in the Michigan Senate.
357	Guilt-tripping	"Temp workers in Florida could lose even the most basic protections, like access to water, restrooms, and a place to sit..."
208	Guilt-tripping	Get the pro-life tie that Superbowl Champion Harrison Butker wore to the White House!...Protect the Defenseless.
338	Time Pressure	__ BOGO ALERT: Trumpinator Teddy Deal ____ He’s Back and Better Than Ever _ Limited Edition – While Supplies Last!
20	Exaggerated Claims	Freedom Isn’t a Trend—It’s a Lifestyle ____ You don’t just wear clothes. You wear your values...
57	Guilt-tripping	"Start your day the right way, by caffeinating to fuel your fight for life!..."
363	Guilt-tripping	“Who knew ahead of time and how much money did they make?” asked Sen. Chris Murphy...
37	Guilt-tripping	Wear this tee to show how being pro-life means loving both babies & mothers equally.
188	Guilt-tripping	Cold-smoked and full of fire—Dissent Gin is for the ones who refuse to back down. Women-owned. LGBTQ-led...
179	Guilt-tripping	"Show your support for the Jewish state with our ""I STAND WITH ISRAEL"" mug!"
251	Guilt-tripping	Get comfortable spreading the truth about abortion with a Smile and Protect Life tee!
305	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24..."
125	Exaggerated Claims	Freedom Isn’t a Trend—It’s a Lifestyle ____ You don’t just wear clothes. You wear your values...
488	Guilt-tripping	Americans who need help buying groceries deserve the freedom to choose foods that best meet their families’ needs.
373	Time Pressure	Please join us for our annual Lincoln Day Dinner - A Return to the Golden Age...
395	Scarcity	"The ONLY garbage truck with Trump’s speech and figurine. Lights, sounds, and presidential flair—just $39.95 + FREE shipping. Grab yours now!"
21	Exaggerated Claims	Freedom Isn’t a Trend—It’s a Lifestyle ____ You don’t just wear clothes. You wear your values...
279	Guilt-tripping	"Printed by returned citizens, Every sale supports jobs for returning citizens..."
317	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24..."
407	Guilt-tripping	"Veterans fought for our country. But now, the government is trying to tell them what they can and cannot buy at the grocery store."
288	Time Pressure	This ain’t just a hat. It’s a warning. ‘We The People Choose America First’ — wear it like you mean it. Sale won’t last.
220	Guilt-tripping	We can't advocate for human rights and ignore the millions of tiny humans who are being killed in the womb daily...
140	Time Pressure	Shop our discounted Flame Fleece as part of the 4/20 sale using promocode DOPE ____
420	Guilt-tripping	Proposals to restrict SNAP are nothing more than a sound bite. Restrictions won’t solve the real health challenges Americans face.
500	Exaggerated Claims	__Rocking this stylish ensemble today! __My kind never go out of style __ #menswear #mensfashion...
54	Guilt-tripping	Do you see the world's pain and injustice and wish you could do something about it?...
429	Guilt-tripping	Proposals to restrict SNAP are nothing more than a sound bite. Restrictions won’t solve the real health challenges Americans face.
34	Time Pressure	Register FREE for NYC's Small Business Expo | May 7th @ The Javits Convention Center. __ Ready to position your small business at the forefront of innovation?
408	Guilt-tripping	"Veterans fought for our country. But now, the government is trying to tell them what they can and cannot buy at the grocery store."
473	Guilt-tripping	Polls show most voters support keeping choice in SNAP. So why are lawmakers pushing new restrictions?
247	Guilt-tripping	Our preborn children deserve the protection of their human right to life. Show your support for the movement to outlaw abortion by proudly displaying our Save the Babies Eagle sticker!
72	Guilt-tripping	Show off your commitment to the lives of preborn children with this bold holographic sticker...
