ID	Label	Text
269	Guilt-tripping	"In the early 1970s, Dr. Russell Sacco wanted to show the humanity of preborn children. To do this, he took a photo of the perfectly formed feet of a 10-week old preborn child. These ""Precious Feet"" quickly became an international pro-life symbol."
448	Guilt-tripping	"Veterans fought for our country. But now, the government is trying to tell them what they can and cannot buy at the grocery store."
405	Guilt-tripping	Polls show most voters support keeping choice in SNAP. So why are lawmakers pushing new restrictions?
193	Exaggerated Claims	It Took MAGA Balls to win and it will take MAGA balls to continue to win 🇺🇸 Get the BEST gift for your man or funniest thing to take to the next round - Shop Now
381	Guilt-tripping	"BIG news! 📮 We’re getting ready to print and ship THOUSANDS of postcards to our volunteer teams as we gear up to connect with voters ahead of the Virginia elections this November. Every year, Sister District volunteers send beautifully handwritten postcards to voters in key districts nationwide. These notes introduce our candidates to new voters in their districts, reach Democrats who vote infrequently, and remind people to vote when it matters most. We rely on grassroots supporters to fund actions like these, so we could really use your support today. One donation of $7 can buy 100 postcards. Can you chip in a few bucks today to support Sister District’s volunteer teams in their GOTV efforts?"
214	Guilt-tripping	"Get comfortable spreading the truth about abortion with a Smile and Protect Life tee!,Get comfortable spreading the truth about abortion with a Smile and Protect Life tee!,Get comfortable spreading the truth about abortion with a Smile and Protect Life tee!,Get comfortable spreading the truth about abortion with a Smile and Protect Life tee!"
168	Scarcity	"🇺🇸 Elon Musk Bobblehead - Limited Edition ✅ Show Your Support For Elon & DOGE 🎉 The First Collectible Elon Musk Bobblehead,🇺🇸 Elon Musk Bobblehead - Limited Edition ✅ Show Your Support For Elon & DOGE 🎉 The First Collectible Elon Musk Bobblehead"
416	Guilt-tripping	Americans who need help buying groceries deserve the freedom to choose foods that best meet their families’ needs.
226	Guilt-tripping	"Being pro-life means proudly supporting and loving both mother and child! Show the world you're boldly pro-life with this unique, heart-shaped pin perfect for a denim or suit jacket, your bags or backpacks, etc!"
321	Guilt-tripping	"In an era of billionaires trying to buy influence and sell you out, it’s refreshing to be able to say this: My average donation this month is just $24. That’s $24 from folks who believe in a movement powered by the people. Folks who believe in the work I’m doing, traveling the country, holding Republicans accountable for what they’re doing right now, and giving the megaphone back to the people through my town hall tour. But I can’t do it alone. Your support helps amplify our voice and accelerate our work. Will you chip in $24 right now?"
365	Exaggerated Claims	"Put $$ on who Trump will fire with Kalshi,Put $$ on who Trump will fire with Kalshi,Put $$ on who Trump will fire with Kalshi"
185	Time Pressure	It has been 17 years since Springtown ISD passed a bond election and the last major investment in Springtown ISD.  📍 Learn more: http://SpringtownISDBond2025.net #SpringtownISDBond202
435	Guilt-tripping	New proposals could limit what families can buy with SNAP. But restrictions won’t solve real health challenges.
163	Exaggerated Claims	The paid protestors are out... but where are we?  If you support the hard work Elon and DOGE are doing with Trump to save our country - then it's time to stand up! 🇺🇸 Shop now and show your support
71	Exaggerated Claims	"Show off your commitment to the lives of preborn children with this bold holographic sticker. Stick it on your laptop, water bottle, or notebook, and let your values speak loud and clear! All profits from this product are donated to support our fight for the preborn.,Show off your commitment to the lives of preborn children with this bold holographic sticker. Stick it on your laptop, water bottle, or notebook, and let your values speak loud and clear! All profits from this product are donated to support our fight for the preborn.,Show off your commitment to the lives of preborn children with this bold holographic sticker. Stick it on your laptop, water bottle, or notebook, and let your values speak loud and clear! All profits from this product are donated to support our fight for the preborn."
84	Exaggerated Claims	"🇺🇸 MAGA is more than just one man, it's a movement that is 70+ million Americans strong.   Live these values daily and help it grow at the same time with our Conservative Values apparel. 🇺🇸 🇺🇸 Supports over 100 American jobs 🇺🇸 Ships from MI 🇺🇸 Veteran owned company Shop now and MAGA 🇺🇸"
80	Guilt-tripping	Pro-Life Daisy Tote Bag
455	Guilt-tripping	Proposals to restrict SNAP are nothing more than a sound bite. Restrictions won’t solve the real health challenges Americans face.
173	Guilt-tripping	"🎯 Take Back America—One Election, One Patriot at a Time! TPAction is on a mission to win local elections, stop radical policies, and restore America First leadership—and we need YOUR support. When you wear TPAction gear, you’re not just showing your pride, you’re funding the fight to take back your country and defend our values. For a limited time, take 10% off sitewide and be part of the movement that refuses to back down. Together, we rally. Together, we win. 🇺🇸 Shop now, save 10%, and support TPAction today,🎯 Take Back America—One Election, One Patriot at a Time! TPAction is on a mission to win local elections, stop radical policies, and restore America First leadership—and we need YOUR support. When you wear TPAction gear, you’re not just showing your pride, you’re funding the fight to take back your country and defend our values. For a limited time, take 10% off sitewide and be part of the movement that refuses to back down. Together, we rally. Together, we win. 🇺🇸 Shop now, save 10%, and support TPAction today"
38	Guilt-tripping	Wear this long sleeve tee to show how being pro-life means loving both babies & mothers equally.
406	Guilt-tripping	Americans who need help buying groceries deserve the freedom to choose foods that best meet their families’ needs.
225	Exaggerated Claims	Can there be too much sparkle? ✨  Um Nope 🙂‍↔️🩶🤍  This beauty also comes in Gold 💛  Shop this Necklace Stack Here >> https://www.amazon.com/dp/B0B2JX5LRK/ref=cm_sw_r_as_gl_api_gl_i_dl_G64ZG05AY7DW0T7TS03D?linkCode=ml2&tag=pjaddair-20  *ad paid partnership 💁🏼‍♀️
