ID	Label	Text
160	Time Pressure	The paid protestors are out... but where are we?  If you support the hard work Elon is doing with Trump to save our country - then it's time to stand up! 🇺🇸 Shop now and show your support
312	Time Pressure	"In an era of billionaires trying to buy influence and sell you out	 it’s refreshing to be able to say this: My average donation this month is just $24. That’s $24 from folks who believe in a movement powered by the people. Folks who believe in the work I’m doing	 traveling the country	 holding Republicans accountable for what they’re doing right now	 and giving the megaphone back to the people through my town hall tour. But I can’t do it alone. Your support helps amplify our voice and accelerate our work. Will you chip in $24 right now?"""
306	Time Pressure	"In an era of billionaires trying to buy influence and sell you out	 it’s refreshing to be able to say this: My average donation this month is just $24. That’s $24 from folks who believe in a movement powered by the people. Folks who believe in the work I’m doing	 traveling the country	 holding Republicans accountable for what they’re doing right now	 and giving the megaphone back to the people through my town hall tour. But I can’t do it alone. Your support helps amplify our voice and accelerate our work. Will you chip in $24 right now?"""
448	Guilt-tripping	"Veterans fought for our country. But now	 the government is trying to tell them what they can and cannot buy at the grocery store."""
405	Guilt-tripping	Polls show most voters support keeping choice in SNAP. So why are lawmakers pushing new restrictions?
308	Time Pressure	"In an era of billionaires trying to buy influence and sell you out	 it’s refreshing to be able to say this: My average donation this month is just $24. That’s $24 from folks who believe in a movement powered by the people. Folks who believe in the work I’m doing	 traveling the country	 holding Republicans accountable for what they’re doing right now	 and giving the megaphone back to the people through my town hall tour. But I can’t do it alone. Your support helps amplify our voice and accelerate our work. Will you chip in $24 right now?"""
381	Time Pressure	"BIG news! 📮 We’re getting ready to print and ship THOUSANDS of postcards to our volunteer teams as we gear up to connect with voters ahead of the Virginia elections this November. Every year	 Sister District volunteers send beautifully handwritten postcards to voters in key districts nationwide. These notes introduce our candidates to new voters in their districts	 reach Democrats who vote infrequently	 and remind people to vote when it matters most. We rely on grassroots supporters to fund actions like these	 so we could really use your support today. One donation of $7 can buy 100 postcards. Can you chip in a few bucks today to support Sister District’s volunteer teams in their GOTV efforts?"""
394	Scarcity	"The ONLY garbage truck with Trump’s speech and figurine. Lights	 sounds	 and presidential flair—just $39.95 + FREE shipping. Grab yours now!"""
268	Scarcity	Meant To Bee Baby Onesie
168	Scarcity	"Elon Musk Bobblehead - Limited Edition ✅ Show Your Support For Elon & DOGE 🎉 The First Collectible Elon Musk Bobblehead	🇺🇸 Elon Musk Bobblehead - Limited Edition ✅ Show Your Support For Elon & DOGE 🎉 The First Collectible Elon Musk Bobblehead"""
416	Guilt-tripping	Americans who need help buying groceries deserve the freedom to choose foods that best meet their families’ needs.
63	Guilt-tripping	"Take a stand for life by wearing this Protect The Innocent Pro-Life Tee.  * Content + Care * Comfort Colors styles are garment dyed for that lived in feel and almost no shrinkage at home * Soft ring spun cotton fabric with 100% cotton threads * Machine washable * Unisex	 runs large for women * True To Size * Relaxed fit	 seamless body"""
244	Exaggerated Claims	"Looking for a gift that truly resonates? Give the ultimate commemorative piece to friends or family who witnessed Donald Trump’s campaign for his historic second term.  Each page offers a fresh perspective on watershed events—perfect for sparking conversations or recalling shared experiences. It’s a gift that carries both sentimental and historical value.  Picture the look of amazement as your loved one flips through the book	 seeing rare photos	 reading behind-the-scenes accounts	 and recalling the excitement of pivotal moments they watched unfold on TV.  President Trump’s historic comeback to reclaim the White House is now immortalized in “Donald Trump: The Road to a Historic Second Term” by USA TODAY. This stunning 160-page commemorative hardcover book brings you front and center to every pivotal moment of President Trump's unprecedented journey. From the campaign trail to the debates	 and all the way to Inauguration Day	 each page is filled with vivid photography and detailed accounts that capture the energy and passion of this remarkable political movement.   Give a meaningful present that’s more than just a keepsake. Make their day by gifting them a slice of American history.  It’s the perfect gift or unique conversation starter for your home. Click 👉 SHOP NOW to purchase direct from the U.S.-based publisher with more than 10	000 verified customer reviews	 satisfaction guarantee	 and easy returns."""
226	Guilt-tripping	"Being pro-life means proudly supporting and loving both mother and child! Show the world you're boldly pro-life with this unique	 heart-shaped pin perfect for a denim or suit jacket	 your bags or backpacks	 etc!"""
365	Exaggerated Claims	"Put $$ on who Trump will fire with Kalshi	Put $$ on who Trump will fire with Kalshi	Put $$ on who Trump will fire with Kalshi"""
435	Guilt-tripping	New proposals could limit what families can buy with SNAP. But restrictions won’t solve real health challenges.
384	Time Pressure	"BIG news! 📮 We’re getting ready to print and ship THOUSANDS of postcards to our volunteer teams as we gear up to connect with voters ahead of the Virginia elections this November. Every year	 Sister District volunteers send beautifully handwritten postcards to voters in key districts nationwide. These notes introduce our candidates to new voters in their districts	 reach Democrats who vote infrequently	 and remind people to vote when it matters most. We rely on grassroots supporters to fund actions like these	 so we could really use your support today. One donation of $7 can buy 100 postcards. Can you chip in a few bucks today to support Sister District’s volunteer teams in their GOTV efforts?"""
236	Exaggerated Claims	"Mutiny	 madness	 and meddling cosmic gods” — Reviewer.   Experience the fascinating story of a talented navy lieutenant’s descent into murder and mutiny aboard an ill-fated alien mission to Earth.   It’s shipboard intrigue at its most enthralling with characters including a cast of meddling cosmic gods who seize the mission's crisis to restore their own glory.   Readers are obsessed  ★★★★★ “I dare you to try putting it down.”   ★★★★★ “The best of the four books	 and the other three were great.”   ★★★★★ “Beautifully written.”  ★★★★★ “Deeply imaginative sci fi drama.”   Click ‘Shop now’ to download your copy of 'OCTAVIA	' or click the link below. """
334	Time Pressure	"In an era of billionaires trying to buy influence and sell you out	 it’s refreshing to be able to say this: My average donation this month is just $24. That’s $24 from folks who believe in a movement powered by the people. Folks who believe in the work I’m doing	 traveling the country	 holding Republicans accountable for what they’re doing right now	 and giving the megaphone back to the people through my town hall tour. But I can’t do it alone. Your support helps amplify our voice and accelerate our work. Will you chip in $24 right now?"""
71	Guilt-tripping	"Show off your commitment to the lives of preborn children with this bold holographic sticker. Stick it on your laptop	 water bottle	 or notebook	 and let your values speak loud and clear! All profits from this product are donated to support our fight for the preborn.	Show off your commitment to the lives of preborn children with this bold holographic sticker. Stick it on your laptop	 water bottle	 or notebook	 and let your values speak loud and clear! All profits from this product are donated to support our fight for the preborn.	Show off your commitment to the lives of preborn children with this bold holographic sticker. Stick it on your laptop	 water bottle	 or notebook	 and let your values speak loud and clear! All profits from this product are donated to support our fight for the preborn."""
80	Scarcity	Pro-Life Daisy Tote Bag
455	Guilt-tripping	Proposals to restrict SNAP are nothing more than a sound bite. Restrictions won’t solve the real health challenges Americans face.
47	Guilt-tripping	"Take a stand for life with this 16oz """"Protect The Innocent"""" Glass Water Bottle. - Protective silicon on glass bottle	 soft and grippy - Never looks scratched or dented and sets down silently - Never imparts weird	 metallic taste or last-drink’s flavor - 100% dishwasher safe (caps only on the top rack) - Glass is the cleanest	 greenest material - Non-toxic	 no leaching (BPA-free	 phthalate-free) - Doesn’t tip over easily - Small mouth for easy	 no spill sipping - Leak-proof ergonomic cap - TSA-friendly (take it through security empty) - Forever reusable and 100% recyclable"""
423	Guilt-tripping	More government rules mean more red tape for families. SNAP restrictions add bureaucracy without solving real issues.
323	Time Pressure	"In an era of billionaires trying to buy influence and sell you out	 it’s refreshing to be able to say this: My average donation this month is just $24. That’s $24 from folks who believe in a movement powered by the people. Folks who believe in the work I’m doing	 traveling the country	 holding Republicans accountable for what they’re doing right now	 and giving the megaphone back to the people through my town hall tour. But I can’t do it alone. Your support helps amplify our voice and accelerate our work. Will you chip in $24 right now?"""
324	Time Pressure	"In an era of billionaires trying to buy influence and sell you out	 it’s refreshing to be able to say this: My average donation this month is just $24. That’s $24 from folks who believe in a movement powered by the people. Folks who believe in the work I’m doing	 traveling the country	 holding Republicans accountable for what they’re doing right now	 and giving the megaphone back to the people through my town hall tour. But I can’t do it alone. Your support helps amplify our voice and accelerate our work. Will you chip in $24 right now?"""
166	Scarcity	Reasons Why This T Shirt Is Triggering Snowflakes On The Street ❄️ 🇺🇸 It shows what we all feel 👍 True patriots are snagging it up! 🚫 🇨🇳 Not made In China 😲 It's triggering libs on the street! 👕 Currently on a huge bundle sale Stick it to the libs and proudly wear the how you feel about America on your chest. Click below to get yours
293	Time Pressure	"In an era of billionaires trying to buy influence and sell you out	 it’s refreshing to be able to say this: My average donation this month is just $24. That’s $24 from folks who believe in a movement powered by the people. Folks who believe in the work I’m doing	 traveling the country	 holding Republicans accountable for what they’re doing right now	 and giving the megaphone back to the people through my town hall tour. But I can’t do it alone. Your support helps amplify our voice and accelerate our work. Will you chip in $24 right now?"""
